Species;Family;Extant_Fossil;ID_Source;Log_BM;Log_BrM;EQ_Orliac;Neo_Ratio;ObS_ES;ObV_EV;RAEC;RAEC2
Boselaphus_tragocamelus;Bovidae;Extant;M_AMNH_22842_AMNH_35520_YPM_5224;5.358750949;2.477884509;0.877087968;;;;;
Cephalophus_leucogaster;Bovidae;Extant;AMNH_52799;4.300909392;1.912874226;0.935314307;39.33590438;13.91902221;3.873867722;125.7558007;2.751357374
Capricornis_sumatraensis;Bovidae;Extant;8_10_9_11_03;5.170070849;2.437581846;1.020173489;39.79459138;9.395294662;1.520171352;185.7213775;2.948134924
Cephalophus_silvicultor;Bovidae;Extant;AMNH_55382;4.721744839;2.206239317;1.067895036;39.30818407;10.09308498;3.412247591;145.3356631;2.553233868
Tetracerus_quadricornis;Bovidae;Extant;M_AMNH_54941_AMNH_54983_YPM_1509;4.164446662;1.877487467;1.028144119;40.33161258;12.47255521;3.257180859;120.8597605;2.713935789
Axis_axis;Cervidae;Extant;M_MAM;4.767806426;2.294268113;1.232392528;40.64021315;10.77046878;2.885892918;163.2954041;2.77464819
Axis_porcinus;Cervidae;Extant;M_MAM;4.547336155;2.184283084;1.272279949;41.3024496;12.03958983;3.121612499;158.610181;2.829486829
Muntiacus_muntjak;Cervidae;Extant;M_ZMB_MAM_46239_ZMB_MAM_40556;4.144986354;2.016714506;1.452651829;40.51031257;11.12085851;2.957909187;130.4465741;2.730686787
Hoplitomeryx_matthei;Hoplitomeryx;Fossil;RGM_260965;4.459735602;1.865559987;0.683365443;40.76702565;10.40816696;3.065025894;126.6869715;2.8704197
Moschus_moschiferus;Moschidae;Extant;ZMB_MAM_70961;3.836030719;1.632509964;0.893438855;39.11695211;7.361222894;2.656419695;93.58477623;2.513005577
Moschiola_meminna;Tragulidae;Extant;ZMB_MAM_66593;3.595996983;1.206064248;0.456152461;31.03598059;14.55040153;4.025901808;63.47915761;2.285806523
Hydropotes_inermis;Cervidae;Extant;M_ZMB_MAM_41441_FM_146556;3.805536392;1.75048937;1.21935514;41.06640708;11.53230984;2.921655125;119.0943635;2.936155167
Samotherium_sp;Giraffidae;Fossil;Jerison;5.799340549;2.62324929;0.694643001;;;;;
Antifer_ensenadensis;Cervidae;Fossil;Fontoura_2020;5.315823458;2.495999151;0.966999282;35.35;7.39;1.9;193.4036427;2.847507867
Dicrocerus_sp;Cervidae;Fossil;Jerison;4.672097858;2.176091259;1.062179005;;;;;
Bos_grunniens;Bovidae;Extant;Perez_Barberia;5.397940009;2.523746467;0.927178951;;;;;
Syncerus_cafer;Bovidae;Extant;Perez_Barberia;5.875061263;2.781755375;0.907489132;;;;;
Tragelaphus_scriptus;Bovidae;Extant;Perez_Barberia;4.709998828;2.161368002;0.97777413;;;;;
Tragelaphus_spekei;Bovidae;Extant;Perez_Barberia;4.685741739;2.198657087;1.099306699;;;;;
Tragelaphus_imberbis;Bovidae;Extant;Perez_Barberia;5.161368002;2.340444115;0.82492128;;;;;
Tragelaphus_strepsiceros;Bovidae;Extant;Perez_Barberia;5.236789099;2.534026106;1.168788843;;;;;
Taurotragus_oryx;Bovidae;Extant;Perez_Barberia;5.698970004;2.685741739;0.913044046;;;;;
Oreotragus_oreotragus;Bovidae;Extant;Perez_Barberia;4.113943352;1.77815125;0.872954632;;;;;
Madoqua_kirkii;Bovidae;Extant;Perez_Barberia;3.658011397;1.531478917;0.890795502;;;;;
Neotragus_moschatus;Bovidae;Extant;Perez_Barberia;3.511883361;1.505149978;1.012335845;;;;;
Raphicerus_campestris;Bovidae;Extant;Perez_Barberia;4.037426498;1.69019608;0.786880706;;;;;
Raphicerus_melanotis;Bovidae;Extant;Perez_Barberia;4.004321374;1.740362689;0.921773689;;;;;
Ourebia_ourebi;Bovidae;Extant;Perez_Barberia;4.173186268;1.755874856;0.768283442;;;;;
Gazella_dorcas;Bovidae;Extant;Perez_Barberia;4.176091259;1.819543936;0.886263547;;;;;
Nanger_granti;Bovidae;Extant;Perez_Barberia;4.763427994;2.198657087;0.994469037;;;;;
Gazella_thomsoni;Bovidae;Extant;Perez_Barberia;4.292256071;1.944482672;1.017219037;;;;;
Antidorcas_marsupialis;Bovidae;Extant;Perez_Barberia;4.553883027;2.130333768;1.113463519;;;;;
Antilope_cervicapra;Bovidae;Extant;Perez_Barberia;4.382017043;2;1.029529356;;;;;
Litocranius_walleri;Bovidae;Extant;Perez_Barberia;4.610127613;2.093421685;0.951152311;;;;;
Kobus_leche;Bovidae;Extant;Perez_Barberia;5.089905111;2.348304863;0.921115123;;;;;
Kobus_ellipsiprymnus;Bovidae;Extant;YPM_34840;5.555185612;2.461131751;0.655305988;40.1325649;7.59994268;2.818330882;184.9613582;2.679133143
Kobus_kob;Bovidae;Extant;Perez_Barberia;5.021189299;2.309630167;0.920747794;;;;;
Redunca_fulvorufula;Bovidae;Extant;Perez_Barberia;4.491361694;2.037426498;0.974539451;;;;;
Redunca_arundinum;Bovidae;Extant;Perez_Barberia;4.788168371;2.139879086;0.841300664;;;;;
Redunca_redunca;Bovidae;Extant;Perez_Barberia;4.67669361;2.093421685;0.872877179;;;;;
Cephalophus_natalensis;Bovidae;Extant;Perez_Barberia;4.096910013;1.919078092;1.234418142;;;;;
Cephalophus_nigrifrons;Bovidae;Extant;Perez_Barberia;4.135132651;1.929418926;1.203336209;;;;;
Sylvicapra_grimmia;Bovidae;Extant;Perez_Barberia;4.075546961;1.880813592;1.161896688;;;;;
Cephalophus_monticola;Bovidae;Extant;Perez_Barberia;3.752048448;1.681241237;1.113913265;;;;;
Cephalophus_zebra;Bovidae;Extant;Perez_Barberia;4;1.919078092;1.39881724;;;;;
Oryx_gazella;Bovidae;Extant;Perez_Barberia;5.113943352;2.437750563;1.097213105;;;;;
Oryx_beisa;Bovidae;Extant;Perez_Barberia;5.243038049;2.447158031;0.949219598;;;;;
Hippotragus_niger;Bovidae;Extant;Perez_Barberia;5.210853365;2.44870632;0.99299729;;;;;
Hippotragus_equinus;Bovidae;Extant;Perez_Barberia;5.378034322;2.588831726;1.105101017;;;;;
Damaliscus_lunatus;Bovidae;Extant;Perez_Barberia;5.101231387;2.456366033;1.164203688;;;;;
Alcelaphus_buselaphus;Bovidae;Extant;Perez_Barberia;5.186956335;2.46834733;1.071466456;;;;;
Sigmoceros_lichtensteinii;Bovidae;Extant;Perez_Barberia;5.217483944;2.552668216;1.250820084;;;;;
Connochaetes_taurinus;Bovidae;Extant;Perez_Barberia;5.204391332;2.556302501;1.282817634;;;;;
Hemitragus_jemlahicus;Bovidae;Extant;Perez_Barberia;4.84509804;2.220108088;0.940334867;;;;;
Ammotragus_lervia;Bovidae;Extant;Perez_Barberia;4.880813592;2.322219295;1.13601044;;;;;
Rupicapra_rupicapra;Bovidae;Extant;Perez_Barberia;4.653212514;2.204119983;1.160934974;48.55684508;4.654704435;;154.5725889;2.996121527
Aepyceros_melampus;Bovidae;Extant;Perez_Barberia;4.767155866;2.252853031;1.121239742;;;;;
Capreolus_capreolus;Cervidae;Extant;Perez_Barberia;4.226599905;2;1.258110992;;;;;
Alces_alces;Cervidae;Extant;Perez_Barberia;5.301029996;2.638489257;1.368374695;;;;;
Odocoileus_virginianus;Cervidae;Extant;Perez_Barberia;4.622938969;2.158362492;1.086457323;;;;;
Rangifer_tarandus;Cervidae;Extant;Perez_Barberia;4.980117046;2.431363764;1.28495248;;;;;
Cervus_nippon;Cervidae;Extant;Perez_Barberia;4.662757832;2.303196057;1.440574517;;;;;
Cervus_elaphus;Cervidae;Extant;Perez_Barberia/Fontoura_2020;4.955086151;2.492760389;1.528651555;37.28;7.51;2.1;;
Dama_dama;Cervidae;Extant;Perez_Barberia;4.748188027;2.33243846;1.380103293;;;;;
Giraffa_camelopardalis;Giraffidae;Extant;Perez_Barberia;5.764736392;2.847572659;1.21751338;;;;;
Okapia_johnstoni;Giraffidae;Extant;Perez_Barberia;5.380211242;2.699837726;1.422945449;;;;;
Hyemoschus_aquaticus;Tragulidae;Extant;Perez_Barberia;4.029383778;1.397940009;0.405657175;;;;;
Antilocapra_americana;Antilocapridae;Extant;YPM_1513;4.662065315;2.106967236;0.917687728;39.18723616;6.566124296;1.501019636;163.6136446;3.097150829
Capra_sibirica;Bovidae;Extant;AMNH_54906;5.21530196;2.342431538;0.773002207;40.90700488;5.257346295;1.675055035;169.8384711;2.691898701
Myotragus_balearicus;Bovidae;Fossil;Liakopoulou et al. 2024_FM_PM_59135;4.421899936;1.650133269;0.436943838;45.00317437;4.750331485;;110.4015134;2.927241701
Tragulus_napu;Tragulidae;Extant;ZMB_66594;3.477068631;1.281285458;0.63236349;33.82739018;12.09511757;4.743999427;62.96017733;2.354890892
Candiacervus_ropalophorus;Cervidae;Fossil;M_Palombo_2008;4.735415244;2.065925784;0.880974811;;;;;
Stockoceros_sp;Antilocapridae;Fossil;;;;;44.52576443;5.909711693;;;
Oreamnos_americanus;Bovidae;Extant;YPM_14605;4.777884233;2.123715375;0.82139059;42.39752114;4.211881473;0.923135892;145.6095112;2.721905121
Ovis_ammon;Bovidae;Extant;YPM_54485;5.225311973;2.260344259;0.631662136;48.05140248;5.159106412;1.362692826;178.0255746;3.002414952
Saiga_tatarica;Bovidae;Extant;YPM_1510;4.556401986;1.984968552;0.794144264;46.98799757;4.856274725;1.214924691;144.8041532;3.002885846
